,MAE_mean,RMSE_mean,RMSLE_mean,WAPE_mean,R2_mean,CSI_mean,MAE_std,RMSE_std,RMSLE_std,WAPE_std,R2_std,CSI_std
Full,2.674506743748983,4.856982866923015,0.3465528686841329,19.851174036661785,0.9449579155574112,0.7355547956455221,0.037552886012738526,0.0774785622969682,0.0018285457998538112,0.2787314969494177,0.0017641034156657806,0.005141840979697109
no-adaptive-graph,2.7398855686187744,5.0296963055928545,0.34921900431315106,20.33643913269043,0.940877421766004,0.7223496528901654,0.08587385979570883,0.21847095954820409,0.002845336218270392,0.6373871527182067,0.0052028495193763204,0.012765177075766765
no-socio,2.693902015686035,4.900094509124756,0.3470112681388855,19.995131810506184,0.9439756696531636,0.7291769436745333,0.03337009683821661,0.08027706441338331,0.0011571098219536522,0.24768519244816736,0.0018440065772454739,0.00766242253407599
no-spatial,2.7307889461517334,5.00090487798055,0.34710734089215595,20.2689208984375,0.9416485106408797,0.7246215083774198,0.027294505090832116,0.07720928727039962,0.0007908075386443364,0.20259069156159523,0.0018105848638297719,0.004213120007933892
ZINB-loss,2.788530111312866,4.924198627471924,0.4122183620929718,20.69749704996745,0.9434097057514723,0.724799155672807,0.058019234003301313,0.1107362124224323,0.014108562184292907,0.4306405452415763,0.00253624826965914,0.009218229587557926
