,MAE,RMSE,RMSLE,WAPE,R2,CSI
HASI-Net,2.6442389488220215,5.737529754638672,0.39371320605278015,21.855993270874023,0.9468764866956262,0.7957158962795942
HA,2.558826446533203,5.491496562957764,0.3918268084526062,21.150014877319336,0.9513348173801234,0.8064444934892959
LSTM,2.7241435050964355,5.936722755432129,0.39285293221473694,22.51644515991211,0.9431238234025484,0.7797850445918134
STGCN,2.6446921825408936,5.731281757354736,0.39169472455978394,21.859739303588867,0.9469921185775061,0.7946690761237859
InformerOnly,3.311444044113159,8.303833961486816,0.4075232446193695,27.370786666870117,0.8887258803586191,0.6357175607519486
