,MAE,RMSE,CSI,R2
Full,2.7129907608032227,5.9402313232421875,0.7924914675767918,0.9430565643125386
no-adaptive-graph,2.592629909515381,5.586167812347412,0.7990990990990992,0.9496424148939666
no-socio,2.8543126583099365,6.299368858337402,0.7656922728302742,0.9359629958960725
no-spatial,2.681330442428589,5.828233242034912,0.785892492628714,0.9451835699665713
ZINB-loss,2.7016329765319824,5.695921421051025,0.797094972067039,0.9476441834238072
