,MAE,RMSE,RMSLE,WAPE,R2,CSI
HASI-Net,22.821502685546875,47.14193344116211,0.6669760942459106,37.07133102416992,0.6579542464341327,0.41304347826086957
HA,23.00057601928711,47.75510787963867,0.6747900247573853,37.362213134765625,0.6489984220585463,0.42696629213483145
LSTM,23.174192428588867,47.74454879760742,0.6574156880378723,37.64424133300781,0.6491535963555652,0.4175824175824176
STGCN,22.715797424316406,47.35228729248047,0.6678211092948914,36.899620056152344,0.6548948901931343,0.43333333333333335
InformerOnly,26.07784652709961,51.35459899902344,0.658390998840332,42.36094284057617,0.5940915230904329,0.3229166666666667
