,MAE_mean,RMSE_mean,RMSLE_mean,WAPE_mean,R2_mean,CSI_mean,MAE_std,RMSE_std,RMSLE_std,WAPE_std,R2_std,CSI_std,n_seeds
HA,2.5883407592773438,4.618919372558594,0.34839650988578796,19.21161651611328,0.95023408635635,0.7445652173913043,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,3.0
LSTM,2.6834118366241455,4.91525395711263,0.3452496329943339,19.917270024617512,0.943643509601718,0.7235490933233918,0.00279266239679174,0.0066273102526334905,7.084545633652166e-05,0.020727451338724032,0.00015189970609809448,0.003011225813377045,3.0
STGCN,2.705819606781006,4.975846608479817,0.34567410747210187,20.083589553833008,0.9422290769522038,0.7213051695986655,0.030415917147161284,0.08411375331018327,0.00020822427505850396,0.22575894277685749,0.0019423751231765283,0.007923460289563656,3.0
GraphWaveNet,2.5711238384246826,4.642934322357178,0.342885822057724,19.08382797241211,0.9497139395341239,0.7544990908936812,0.010015293951091676,0.023699445725467817,0.00048466744942625824,0.07433686781919228,0.0005130674438492012,0.0012776155806305145,3.0
DCRNN,2.681347131729126,4.899921576182048,0.345038781563441,19.901944478352863,0.9439881820686554,0.7261547262374551,0.01891010330714179,0.05266792331595001,0.0003754522015450794,0.1403582216521515,0.0012000746519004143,0.002043368404053735,3.0
MTGNN,2.646085818608602,4.81636905670166,0.34486712018648785,19.640223185221355,0.9458869023000008,0.7281687103476987,0.008896089048968303,0.024936005606214333,0.00034510890499251236,0.06603036308998095,0.0005606108380639794,0.0019722541354698373,3.0
InformerOnly,2.700806458791097,4.971767107645671,0.34595179557800293,20.046379725138348,0.9422568529618139,0.7422713691250179,0.05773918375699362,0.18907534791305555,0.0006556350911962184,0.4285619260438591,0.004421477920824791,0.008061569698579917,3.0
HASI-Net,2.69974946975708,4.901096026102702,0.347846398750941,20.03853480021159,0.943964614848924,0.7299304919723718,0.017738470634428502,0.03696148116992058,0.0012206638444640715,0.131662109675605,0.0008431443069663082,0.0017062763216459773,3.0
